read_2,bnf_code,dmd_code,drug_name,insulin,hypo,metformin,aspirin,antiplatelet,anticoagulant,statin
NA,06.01.01.04.00,NA,"BD Micro-Fine + hypodermic U100 insulin syringe sterile single use / single patient use 1ml with 8mm needle 0.3mm/30gauge (Becton, Dickinson UK Ltd)",1,,,,,,
NA,NA,7.49E+15,"BD Micro-Fine + hypodermic U100 insulin syringe sterile single use / single patient use 1ml with 8mm needle 0.3mm/30gauge (Becton, Dickinson UK Ltd)",1,,,,,,
ph3b.00,NA,7.49E+15,"BD Micro-Fine + hypodermic U100 insulin syringe sterile single use / single patient use 1ml with 8mm needle 0.3mm/30gauge (Becton, Dickinson UK Ltd)",1,,,,,,
ph3L.00,NA,2.56E+14,BD Micro-Fine Plu singl use ins syr+8m ndle30 0.3ml [BECTON],1,,,,,,
NA,NA,1.84E+14,BD Micro-Fine Plu singl use ins syr+8m ndle30 0.5ml [BECTON],1,,,,,,
ph3M.00,NA,1.84E+14,BD Micro-Fine Plu singl use ins syr+8m ndle30 0.5ml [BECTON],1,,,,,,
ph8C.,71190000,NA,BD Micro-Fine Plus scre on pen needl 12.7mm/29gauge [BECTON],1,,,,,,
ph8C.00,NA,2.80E+14,BD Micro-Fine Plus scre on pen needl 12.7mm/29gauge [BECTON],1,,,,,,
ph8T.00,NA,1.73E+16,BD Micro-Fine Plus screw on pen needle 4mm/32 gauge [BECTON],1,,,,,,
ph8A.,71190000,NA,BD Micro-Fine Plus screw on pen needle 5mm/31gauge [BECTON],1,,,,,,
ph8A.00,NA,3.78E+13,BD Micro-Fine Plus screw on pen needle 5mm/31gauge [BECTON],1,,,,,,
ph8B.,71190000,NA,BD Micro-Fine Plus screw on pen needle 8mm/31gauge [BECTON],1,,,,,,
ph8B.00,NA,1.52E+14,BD Micro-Fine Plus screw on pen needle 8mm/31gauge [BECTON],1,,,,,,
NA,NA,3.86E+14,BD Micro-Fine Plus singl use ins syr+12m need29 1ml [BECTON],1,,,,,,
ph3D.00,NA,3.86E+14,BD Micro-Fine Plus singl use ins syr+12m need29 1ml [BECTON],1,,,,,,
ph3b.,6010103,NA,BD Micro-Fine Plus single use ins syr+8m ndle30 1ml [BECTON],1,,,,,,
ph3b.00,NA,7.49E+15,BD Micro-Fine Plus single use ins syr+8m ndle30 1ml [BECTON],1,,,,,,
NA,NA,NA,Bd Micro-Fine Ultra  Needles for insulin pens  4 mm/32 gauge,1,,,,,,
NA,71190600,NA,BD Micro-Fine Ultra hypodermic insulin needles for pre-fi...,1,,,,,,
NA,NA,1.73E+16,BD Micro-Fine Ultra hypodermic insulin needles for pre-fi...,1,,,,,,
ph8T.,71190000,NA,BD Micro-Fine Ultra hypodermic insulin needles for pre-fi...,1,,,,,,
ph8T.00,NA,1.73E+16,BD Micro-Fine Ultra hypodermic insulin needles for pre-fi...,1,,,,,,
NA,06.01.01.03.00,NA,"BD Micro-Fine Ultra hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge (Becton, Dickinson UK Ltd)",1,,,,,,
NA,NA,1.73E+16,"BD Micro-Fine Ultra hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge (Becton, Dickinson UK Ltd)",1,,,,,,
ph8T.00,NA,1.73E+16,"BD Micro-Fine Ultra hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge (Becton, Dickinson UK Ltd)",1,,,,,,
NA,NA,NA,Bd Pen needles 5mm,1,,,,,,
NA,6010103,NA,BD SAFE CLIP,1,,,,,,
NA,NA,3.17E+16,B-D SAFE CLIP,1,,,,,,
NA,6010103,NA,BD SAFE CLIP BD SAFE CLIP,1,,,,,,
NA,6010103,NA,B-D SAFE CLIP DEVICE,1,,,,,,
NA,6010103,NA,BD SAFE CLIP DEVICE DEVICE,1,,,,,,
NA,6010103,NA,BD SAFECLIP,1,,,,,,
NA,6010103,NA,Bd Safe-Clip  Device,1,,,,,,
NA,6010103,NA,BD SAFE-CLIP BD SAFE-CLIP,1,,,,,,
NA,21010900430,NA,BD SAFECLIP CODE 0029116 APPL,1,,,,,,
NA,6010103,NA,BD SAFECLIP DEVICE DEVICE,1,,,,,,
NA,71190500,NA,BD Safe-Clip needle clipping / chopping device (Becton  D...,1,,,,,,
NA,NA,6.73E+14,"BD Safe-Clip needle clipping / chopping device (Becton, D...",1,,,,,,
NA,NA,6.73E+14,"BD Safe-Clip needle clipping / chopping device (Becton, Dickinson UK Ltd)",1,,,,,,
phBA.,71190300,NA,BD SafetyGlide hypodermic U100 insulin syringe sterile si...,1,,,,,,
NA,NA,1.95E+17,"B-d u-100 0.5ml Insulin syringe (Becton, Dickinson UK Ltd)",1,,,,,,
ph3C.00,NA,1.95E+17,"B-d u-100 0.5ml Insulin syringe (Becton, Dickinson UK Ltd)",1,,,,,,
ph3D.00,NA,1.95E+17,"B-d u-100 1ml Insulin syringe (Becton, Dickinson UK Ltd)",1,,,,,,
NA,NA,2.99E+17,B-D U100 MICROFINEneedles 0.8m,1,,,,,,
NA,NA,2.99E+17,B-D U100 MICROFINEneedles 12mm,1,,,,,,
ph3C.00,NA,1.95E+17,B-D U-100 single use insulin syringe 0.5ml [BECTON] 29g,1,,,,,,
NA,NA,1.95E+17,B-D U-100 single use insulin syringe 0.5ml [BECTON] 30g,1,,,,,,
ph62.00,NA,6.73E+14,B-D U-100 single use insulin syringe 0.5ml 29g,1,,,,,,
NA,06.01.01.03.00,NA,B-D U-100 single use insulin syringe 0.5ml 29g [BECTON],1,,,,,,
NA,06.01.01.04.00,NA,B-D U-100 single use insulin syringe 0.5ml 30g [BECTON],1,,,,,,
NA,NA,2.99E+17,B-D U-100 single use insulin syringe 1ml (29g),1,,,,,,
ph3D.00,NA,1.95E+17,B-D U-100 single use insulin syringe 1ml [BECTON] 29g,1,,,,,,
NA,91.06.00.00.00,NA,B-D U-100 single use insulin syringe 1ml 29g [BECTON],1,,,,,,
NA,06.01.01.04.00,NA,BD Ultra Pen insulin pen 1.5ml [BECTON],1,,,,,,
NA,91.02.00.00.00,NA,BD Ultra Pen insulin pen 3.0ml [BECTON],1,,,,,,
NA,71190600,NA,BD Viva hypodermic insulin needles for pre-filled / reusa...,1,,,,,,
NA,NA,3.18E+16,BD Viva hypodermic insulin needles for pre-filled / reusa...,1,,,,,,
NA,91.03.01.00.00,NA,"BD Viva hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge (Becton, Dickinson UK Ltd)",1,,,,,,
NA,NA,3.18E+16,"BD Viva hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge (Becton, Dickinson UK Ltd)",1,,,,,,
NA,06.01.01.03.00,NA,"BD Viva hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge (Becton, Dickinson UK Ltd)",1,,,,,,
NA,6010103,NA,Bd-Microfine +  Disposable syringe  0.3 ml  0.30 x 8 mm needle,1,,,,,,
NA,21010900410,NA,Bd-Microfine +  Disposable syringe  0.5 ml,1,,,,,,
NA,6010103,NA,Bd-Microfine +  Disposable syringe  0.5 ml  0.30 x 8 mm needle,1,,,,,,
NA,6010103,NA,Bd-Microfine +  Disposable syringe  1 ml  0.30 x 8 mm needle,1,,,,,,
NA,6010103,NA,Bd-Microfine +  Disposable syringe  1 ml  0.33 x 12.7 mm needle,1,,,,,,
NA,21010900425,NA,Bd-Microfine +  Needles  8 mm/30g,1,,,,,,
NA,21010900425,NA,Bd-Microfine +  Needles for insulin pens  12.7 mm/29 gauge,1,,,,,,
NA,NA,NA,Bd-Microfine +  Needles for insulin pens  4 mm/32 gauge,1,,,,,,
NA,NA,NA,Bd-Microfine +  Needles for insulin pens  5 mm/31 gauge,1,,,,,,
NA,NA,NA,Bd-Microfine +  Needles For Insulin Pens  5 mm/31 gauge,1,,,,,,
NA,NA,NA,Bd-Microfine +  Needles for insulin pens  8 mm/31 gauge,1,,,,,,
NA,NA,NA,Bd-Microfine +  Needles For Insulin Pens  8 mm/31 gauge,1,,,,,,
NA,NA,2.99E+17,Bd-Microfine + Needles For Insulin Pens 8 mm/31 gauge,1,,,,,,
ph31.00,NA,5.69E+16,BD-MICROFINE INSULIN SYRINGE 0.5ML(DISP),1,,,,,,
ph32.00,NA,5.69E+16,BD-MICROFINE INSULIN SYRINGE 1ML (DISP),1,,,,,,
NA,21010900425,NA,Bd-Microfine Iv  Single use  disposable needles  25g  0.5 mm,1,,,,,,
ph8B.00,NA,1.52E+14,BD-MICROFINE+ SHORT PEN NEEDLE 8MM/31 G,1,,,,,,
NA,NA,1.98E+16,CarePoint hypodermic insulin needles for pre-filled / reu...,1,,,,,,
NA,06.01.01.03.00,NA,CarePoint hypodermic insulin needles for pre-filled / reusable pen injectors screw on 12mm/29gauge (GlucoRx Ltd),1,,,,,,
NA,06.01.01.03.00,NA,CarePoint hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/31gauge (GlucoRx Ltd),1,,,,,,
NA,NA,1.98E+16,CarePoint hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/31gauge (GlucoRx Ltd),1,,,,,,
NA,91.03.01.00.00,NA,CarePoint hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge (GlucoRx Ltd),1,,,,,,
ph8P.,NA,1.00E+16,CarePoint hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge (GlucoRx Ltd),1,,,,,,
NA,06.01.01.03.00,NA,CarePoint hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge (GlucoRx Ltd),1,,,,,,
NA,71190000,NA,Clickfine hypodermic insulin needles for pre-filled / reu...,1,,,,,,
NA,NA,1.44E+13,Clickfine hypodermic insulin needles for pre-filled / reu...,1,,,,,,
ph8F.00,NA,9.36E+14,Clickfine hypodermic insulin needles for pre-filled / reu...,1,,,,,,
pm22.00,NA,1.74E+16,ClikStar blue insulin pen 3ml/1-80 units [SANOFI/AVE],1,,,,,,
NA,71190900,NA,ClikSTAR hypodermic insulin injection pen reusable for 3m...,1,,,,,,
NA,NA,1.74E+16,ClikSTAR hypodermic insulin injection pen reusable for 3m...,1,,,,,,
NA,NA,1.74E+16,ClikSTAR hypodermic insulin injection pen reusable for 3m...,1,,,,,,
NA,91.02.00.00.00,NA,ClikSTAR hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-80 units Blue (Sanofi),1,,,,,,
NA,NA,1.74E+16,ClikSTAR hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-80 units Blue (Sanofi),1,,,,,,
NA,06.01.01.04.00,NA,ClikSTAR hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-80 units Silver (Sanofi),1,,,,,,
pm23.00,NA,1.74E+16,ClikSTAR hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-80 units Silver (Sanofi),1,,,,,,
pm23.00,NA,1.74E+16,ClikStar silver insulin pen 3ml/1-80 units [SANOFI/AVE],1,,,,,,
NA,210109,NA,Comfort Point  Needles for insulin pens  12 mm/29 gauge,1,,,,,,
ph8P.,NA,1.00E+16,Comfort Point hypodermic insulin needles for pre-filled / re,1,,,,,,
NA,NA,1.98E+16,Comfort Point hypodermic insulin needles for pre-filled /...,1,,,,,,
ph8P.,NA,1.00E+16,Comfort Point hypodermic insulin needles for pre-filled /...,1,,,,,,
NA,91.02.00.00.00,NA,Comfort Point hypodermic U100 insulin syringe sterile single use / single patient use 1ml with 12mm needle 0.33mm/29gauge (GlucoRx Ltd),1,,,,,,
NA,6010103,NA,Disposable  Insulin syringe with needle  0.3 ml,1,,,,,,
NA,6010103,NA,Disposable  Insulin syringe with needle  1 ml,1,,,,,,
pi11.00,NA,3.50E+15,Disposal unit for hypodermic equipment,1,,,,,,
phCQ.,71190600,NA,Glucoject hypodermic insulin needles for pre-filled / reu...,1,,,,,,
phCT.,NA,3.08E+16,Glucoject hypodermic insulin needles for pre-filled / reu...,1,,,,,,
NA,06.01.01.03.00,NA,Glucoject hypodermic insulin needles for pre-filled / reusable pen injectors screw on 10mm/29gauge (A Menarini Diagnostics Ltd),1,,,,,,
